canonical,construct,stem,variable_dr,dr_col_final,map_source,accepted,dr_col_exists,cov_dr_v0,cov_bp_v0,cov_sz_v0,bp_col,sz_col,n_cohorts,readiness_old,readiness_new,readiness_changed
ivt03_w,,ivt03_w,IVT03,ivt03,Variable DR,True,True,0.569,0.674,,ivt03_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
imt01_wais4,,imt01_wais,IMT01,imt01,Variable DR,True,True,0.518,,0.177,,imt01_wais4,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
imt02_wais4,,imt02_wais,IMT02,imt02,Variable DR,True,True,0.518,,0.177,,imt02_wais4,2,NOT USABLE — Data present in only 1 of 2 cohorts,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
imt03_wais4,,imt03_wais,IMT03,imt03,Variable DR,True,True,0.518,,0.177,,imt03_wais4,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
fv01,fluency,fv,,fv01,asserted (fv name identity),True,True,0.554,0.668,0.416,fv01_,fv01_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv02,fluency,fv,,fv02,asserted (fv name identity),True,True,0.553,0.668,0.416,fv02_,fv02_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv03,fluency,fv,,fv03,asserted (fv name identity),True,True,0.543,0.668,0.417,fv03_,fv03_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv04,fluency,fv,,fv04,asserted (fv name identity),True,True,0.542,0.654,0.414,fv04_,fv04_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv05,fluency,fv,,fv05,asserted (fv name identity),True,True,0.551,0.653,0.414,fv05_,fv05_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv06,fluency,fv,,fv06,asserted (fv name identity),True,True,0.543,0.653,0.414,fv06_,fv06_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv07,fluency,fv,,fv07,asserted (fv name identity),True,True,0.542,0.651,0.413,fv07_,fv07_,3,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
fv08,fluency,fv,,,,False,False,,0.648,0.409,fv08_,fv08_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv12,fluency,fv,,,,False,False,,0.666,0.416,fv12_,fv12_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv13,fluency,fv,,,,False,False,,0.666,0.416,fv13_,fv13_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv14,fluency,fv,,,,False,False,,0.668,0.417,fv14_,fv14_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv15,fluency,fv,,,,False,False,,0.65,0.412,fv15_,fv15_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv16,fluency,fv,,,,False,False,,0.647,0.411,fv16_,fv16_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv17,fluency,fv,,,,False,False,,0.646,0.411,fv17_,fv17_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv18,fluency,fv,,,,False,False,,0.64,0.41,fv18_,fv18_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
fv19,fluency,fv,,,,False,False,,0.634,0.404,fv19_,fv19_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com01,,com,,,,False,False,,0.064,0.263,com01_,com01_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com01s1,,com01s,,,,False,False,,0.038,0.185,com01s1_,com01s1_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com01s2,,com01s,,,,False,False,,0.004,0.112,com01s2_,com01s2_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com02,,com,,,,False,False,,0.064,0.262,com02_,com02_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com02s1,,com02s,,,,False,False,,0.038,0.185,com02s1_,com02s1_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com02s2,,com02s,,,,False,False,,0.004,0.111,com02s2_,com02s2_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com03,,com,,,,False,False,,0.064,0.263,com03_,com03_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com03s1,,com03s,,,,False,False,,0.037,0.183,com03s1_,com03s1_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com03s2,,com03s,,,,False,False,,0.004,0.111,com03s2_,com03s2_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04,,com,,,,False,False,,0.064,0.263,com04_,com04_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04s1,,com04s,,,,False,False,,0.037,0.184,com04s1_,com04s1_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04s2,,com04s,,,,False,False,,0.004,0.111,com04s2_,com04s2_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04s3,,com04s,,,,False,False,,0.051,0.187,com04s3_,com04s3_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04s4,,com04s,,,,False,False,,0.038,0.148,com04s4_,com04s4_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
com04s5,,com04s,,,,False,False,,0.004,0.112,com04s5_,com04s5_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
